recipe_id,recipe_title,recipe_comment
1691,鶏ひき肉の大葉ハンバーグ,青じその香りが口の中に広がります。香味野菜を利用して、おいしい減塩レシピを楽しみましょう。
2460,胸肉でミラノ風カツレツ 青のりチーズ味,鶏肉を叩いて広げ、ボリューム感を出しました。揚げずに焼いて脂質控えめに仕上げます。
4907,いんげんと豚のはちみつ味噌炒め,カリッと食感のいんげんに、やわらかいなす。みそとはちみつの甘辛味のタレがよく絡みます。
5832,洋食屋さん風ビーフシチュー,クリスマスにぴったりの濃厚なビーフシチュー。牛肉は脂質の少ない部位を使いますが、ワインにひたすことでしっとりやわらかく仕上がります。
7275,大豆入り チキンキーマカレー,トマトの酸味と旨味、スパイスの香りを生かし塩分とエネルギー控えめでも満足感のあるカレーに。大豆の食感も楽しめます。
7452,トマトのたまご炒め,忙しい朝でも簡単につくることができる１品。卵はごま油で炒めて香ばしく。
7474,キャベツでボリューム満点 サンドイッチ,ボリューム満点の食べ応えのあるサンドイッチ。粒マスタードとキャベツが良く合います。※レシピ写真は２人分です
7757,フライパン１つで鮭の甘辛生姜焼き,鮭をしょうがでさっぱりといただきます。ほどよい甘辛味でご飯がすすみます。
9665,そら豆と豚肉のオイスター炒め,春ならではのそら豆が主役のレシピ。そら豆の色がきれいに出るよう、さっとゆでるのがポイントです。
10094,フライパンひとつ ほたてのワンポットパスタ,フライパン１枚で作れる手軽なクリームパスタ。生クリームは不使用ですが、コク深い味わいを楽しめます。
10434,さっぱり美味 ブリとエリンギの黒酢炒め,玉ねぎは予め電子レンジで加熱することで時短に。エリンギの食感もよく、黒酢風味のさっぱりとした炒め物です。
10543,鶏団子と野菜たっぷりキムチ味噌鍋,調味料は味噌だけ。肉団子やキムチのうま味を利用して満足感のある味に仕上げました。野菜たっぷりで体温まる一品です。
10806,おなかにやさしいチキンカレー,辛味の強いスパイスを使わず、クミンやコリアンダーで香り豊かなカレーに。IBDの方でも安心して召し上がっていただけます。
11063,柔らか豚肉とパプリカの黒酢炒め,フライパン１つで作る、お手軽レシピ。味付けは黒酢としょうゆ、砂糖とシンプルな調味料で本格的な味が楽しめます。
11140,さば缶コロッケ,ひき肉の代わりにサバ缶を使いました。カルシウムやビタミンDがたっぷり。「骨のためのおいしいレシピ。Winter」より。
11141,厚揚げとねぎのさっと炒め,フライパン１枚のお手軽レシピ。おつまみにもおすすめです。武田薬品工業「骨のためのおいしいレシピ。Winter」より。
11151,豚の生姜焼き,フライパンひとつでできる定番・お手軽レシピ。玉ねぎを加えて、旨味とボリューム感をアップしています。
11157,時短チキンカレー,電子レンジを使って、調理時間と脂質をカットした技ありカレー。カレールーは計量しやすいフレークタイプがおすすめです。
11163,鯖の塩焼き 大根おろし添え,鯖は身が傷みやすいので、鮮度の良いものを選びましょう。酒と塩をふってしばらくおき、ふっくらおいしく焼き上げます。
11225,さば缶の食パンキッシュ,卵、さば水煮、チーズを組み合わせることで、不足しやすいたんぱく質やカルシウムを補える一品に。常備品で手軽に作れます。
11292,タラと里芋のカニカマあんかけ,たらと里いも、かに風味かまぼこで彩りもよく、食べごたえのある一品。フライパン１枚で作れるお手軽レシピです。
11565,巣ごもり卵,オーブントースターで作るので、忙しい朝にもぴったりな一品です。とろっとした半熟卵にキャベツをからめて召し上がれ。
11749,蒸し鶏のゴマダレサラダ,鶏肉をしっとり仕上げる秘密は、下ごしらえに少しの「砂糖」。気になる塩分も控えられます。こってりソースで食べごたえも満点。
11921,揚げない春巻き,オーブントースターで焼いて作る春巻きです。手軽に作れて、使用する油も少量に。パリッとした食感をお楽しみください。
11944,基本のチンジャオロース,ピーマン、たけのこと豚肉は同じ大きさに切ることで、火の通りが均一になります。野菜たっぷりで食べごたえがあります。
11959,塩麹でしっとりバンバンジー,むね肉は塩麹と油をまぶしてしっとりやわらかな仕上がりに。ごまだれは、酢で塩味が引き立ち、塩分控えめでも満足できます。
11967,ポークカレーライス,豚肉はももを選んで脂質をカット。脂質の多いカレールウを減らしたぶん、カレー粉やスパイスを加えて香り高く味わい深い一品に。
11990,塩分控えめ さばのみそ煮,一般的なみそ煮よりも塩分控えめです。煮汁が煮立ってから魚を加えると臭みが出ず、みその風味が一段と引き立ちます。
12021,脂質控えめ お好み焼き,豚肉はもも肉を使って脂質をカット。キャベツを大きめに切ると、食べごたえがアップして満足感が増します。
12046,鮭のバジルチーズパン粉焼き,バジルとチーズがふんわり香るパン粉焼き。フライパン１つで手軽に作れます。パン粉が焦げないよう弱めの火加減で焼きましょう。
12277,目玉焼きトースト,オーブントースターで焼くだけの簡単メニュー。とろりとした半熟状のたまごとハーブの香りがおいしさのポイントです。
12394,いわしのカリカリパン粉焼き,魚にパン粉をのせて焼くだけ。カリカリ食感が食欲UP。揚げないので、ヘルシーに頂け、カレーの風味が食欲をそそります。
13441,節約 豚肉と大根の炒め煮,大根は薄く切ることで、短時間で味が染み込みやすくなります。ご飯が進む味付けです。
13500,野菜たっぷりカルパッチョ,サラダ用のカット野菜を使って、いつもの刺し身を彩りのよいカルパッチョに。塩は少なめ、オリーブ油とレモンでいただきます。
13502,豚肉と野菜の中華風オイル蒸し,フライパンに具材を並べ、蓋をして放っておくだけで完成。ごま油とにんにくの香りが食欲をそそる一品です。
14459,いわしの蒲焼き丼梅風味,いわしの蒲焼き丼に梅干しを加えてアレンジしました。梅干しの酸味とさわやかな香りで、魚の匂いが苦手な人も食べやすく。
14807,塩分を抑えた 焼き餃子,玉ねぎを入れると、肉がぱさつかずに仕上がります。たれのしょうゆを減らして塩分を抑え、酢の酸味でさっぱりといただきます。
15374,豚バラ肉とピーマンのこってり甘辛みそ炒め,カリッと香ばしく、さらにちょっと甘めのみそ味の豚肉はご飯にもぴったり。調味料を入れるときは、焦げないように必ず弱火で。
15526,鍋焼きうどん,寒い季節にぴったりの熱々の鍋焼きうどん。煮込むだけであっという間にできるので、忙しい日や疲れた日にもおすすめです。
15799,盛岡じゃじゃ麺,わんこそば、冷麺と並んで「盛岡三大麺」と言われる岩手県盛岡市の郷土料理。肉みそに黒ごまを加えて、こくをプラス。
15821,揚げ出し豆腐,豆腐は大豆由来の良質なたんぱく質が含まれます。木綿豆腐は絹ごし豆腐に比べてカルシウムをはじめとするミネラルが豊富です。
16043,和風豆腐ハンバーグ,牛肉感がしっかりある豆腐ハンバーグ。スライスした新玉ねぎをたっぷりのせ、ぽん酢しょうゆをかけていただきます。
16068,かじきのにんにくバターしょうゆソテー,バターとにんにくしょうゆが食欲をそそるかじきのソテー。少し濃い目の味つけでご飯がすすみます。
16188,フライパンで時短簡単 トマトとさば缶のカレー,ポイントはカレー粉を炒めて香りを出し、トマトはペースト状になるまで水分を飛ばすこと。塩分もカロリーも控えめのカレーです。
16276,脂質を抑えた ドライカレー,フライパン１つで手軽に作れるドライカレー。仕上げのクミンとカルダモンで、より風味豊かな味わいに。
16290,ふんわりかに玉,うま味たっぷりのかに玉に、甘酢あんがおいしい。卵にすりおろした長いもを加え、ボリューム感とふんわり感を出しました。
16294,たくあんとしらすのもち麦おむすび,ぷちぷちしたもち麦とたくあんの食感が楽しいおにぎり。お弁当やお子さんにも。
16356,電子レンジで 韓国風蒸し鶏,やわらかい蒸し鶏とシャキシャキのもやしをコチュジャンだれでいただきます。もやしはたれが薄まらないようしっかり水きりを。
16565,電子レンジで作る お手軽シュウマイ,蒸し器も鍋もいらない、電子レンジで作るお手軽シュウマイ。玉ねぎはあえて大きめに切ってシャキシャキ食感を楽しみます。
16567,煮豚,煮汁にオイスターソースのコクと酢の酸味を加え、塩分をカット。ご飯がすすむおいしさです。
