user_id,height_cm,weight_kg,bmi,cooking_skill,concern_name
1,158.0,41.0,16.4,初級,健康的な食生活・病気予防
2,147.2,55.8,25.8,中級,健康的な食生活・病気予防
3,170.0,64.0,22.1,中級,健康的な食生活・病気予防
4,163.0,51.3,19.3,初心者,健康的な食生活・病気予防
5,155.0,48.0,20.0,中級,健康的な食生活・病気予防
6,156.0,51.0,21.0,初級,健康的な食生活・病気予防
7,160.0,61.0,23.8,中級,健康的な食生活・病気予防
8,172.6,64.0,21.5,初級,健康的な食生活・病気予防
9,141.0,37.0,18.6,初心者,健康的な食生活・病気予防
10,158.0,53.0,21.2,初心者,健康的な食生活・病気予防
11,175.0,70.0,22.9,初心者,健康的な食生活・病気予防
12,162.0,46.0,17.5,初心者,健康的な食生活・病気予防
13,158.0,53.0,21.2,初心者,健康的な食生活・病気予防
14,167.0,47.5,17.0,中級,健康的な食生活・病気予防
15,158.0,62.0,24.8,初級,健康的な食生活・病気予防
16,156.0,59.0,24.2,初級,健康的な食生活・病気予防
17,158.0,53.0,21.2,初心者,健康的な食生活・病気予防
18,160.0,58.0,22.7,初級,健康的な食生活・病気予防
19,178.0,64.0,20.2,初心者,健康的な食生活・病気予防
20,178.0,50.0,15.8,初心者,健康的な食生活・病気予防
21,169.5,63.0,21.9,中級,健康的な食生活・病気予防
22,153.0,47.0,20.1,中級,健康的な食生活・病気予防
23,158.0,53.0,21.2,初心者,健康的な食生活・病気予防
24,159.0,53.0,21.0,中級,健康的な食生活・病気予防
25,160.0,62.0,24.2,初級,健康的な食生活・病気予防
26,176.0,85.0,27.4,初級,ダイエット
27,154.0,48.6,20.5,中級,ダイエット
28,176.0,97.0,31.3,中級,ダイエット
29,153.0,54.0,23.1,初級,ダイエット
30,154.0,52.0,21.9,中級,ダイエット
31,153.2,73.2,31.2,初心者,ダイエット
32,162.0,61.0,23.2,初級,ダイエット
33,165.0,90.0,33.1,初心者,ダイエット
34,157.0,52.0,21.1,中級,ダイエット
35,168.0,90.0,31.9,初級,ダイエット
36,162.0,98.0,37.3,初級,ダイエット
37,157.0,84.0,34.1,中級,ダイエット
38,158.0,64.0,25.6,中級,ダイエット
39,170.0,65.0,22.5,初級,ダイエット
40,154.5,61.0,25.6,上級,ダイエット
41,161.0,54.0,20.8,中級,ダイエット
42,153.0,75.0,32.0,初級,ダイエット
43,157.0,52.0,21.1,初級,ダイエット
44,153.0,47.0,20.1,初級,ダイエット
45,158.0,70.0,28.0,初級,ダイエット
46,175.2,73.0,23.8,初心者,ダイエット
47,160.0,70.0,27.3,初級,ダイエット
48,153.0,60.0,25.6,初心者,ニキビ・肌荒れ
49,174.0,61.0,20.1,初心者,ニキビ・肌荒れ
50,158.0,47.5,19.0,初心者,ニキビ・肌荒れ
51,160.0,60.0,23.4,初級,糖尿病（2型）
52,160.0,53.0,20.7,中級,糖尿病（2型）
53,178.0,64.0,20.2,初級,糖尿病（2型）
54,176.0,92.0,29.7,初級,糖尿病（2型）
55,163.0,72.0,27.1,中級,糖尿病（2型）
56,165.0,78.0,28.7,中級,糖尿病（2型）
57,168.0,71.0,25.2,上級,糖尿病（2型）
58,150.0,50.0,22.2,中級,糖尿病（2型）
59,170.0,60.0,20.8,中級,糖尿病（2型）
60,180.0,80.0,24.7,中級,糖尿病（2型）
61,160.0,87.0,34.0,中級,血糖値・HbA1cが高い（糖尿病予備群）
62,163.0,47.5,17.9,上級,血糖値・HbA1cが高い（糖尿病予備群）
63,172.0,78.0,26.4,初心者,血糖値・HbA1cが高い（糖尿病予備群）
64,184.0,73.0,21.6,上級,血糖値・HbA1cが高い（糖尿病予備群）
65,174.0,67.0,22.1,中級,血糖値・HbA1cが高い（糖尿病予備群）
66,172.0,48.5,16.4,中級,血糖値・HbA1cが高い（糖尿病予備群）
67,170.0,93.0,32.2,初級,高血圧
68,163.0,70.0,26.3,初級,高血圧
69,156.0,73.0,30.0,初級,高血圧
70,170.0,52.0,18.0,中級,高血圧
71,155.0,72.0,30.0,中級,血圧が高い
72,153.0,79.0,33.7,初級,血圧が高い
73,158.0,68.0,27.2,初級,血圧が高い
74,172.0,65.0,22.0,中級,血圧が高い
75,178.0,94.0,29.7,初級,心筋梗塞
76,158.5,54.0,21.5,上級,心筋梗塞
77,180.0,83.0,25.6,上級,心不全
78,172.0,48.0,16.2,初級,心不全
79,157.0,53.0,21.5,中級,脂質異常症
80,174.0,62.0,20.5,中級,脂質異常症
81,158.0,66.0,26.4,初級,脂質異常症
82,158.0,87.0,34.9,上級,コレステロールが高い
83,155.0,40.0,16.6,中級,コレステロールが高い
84,158.0,52.0,20.8,初級,コレステロールが高い
85,157.0,89.6,36.4,初級,中性脂肪が高い
86,173.0,82.0,27.4,中級,中性脂肪が高い
87,157.0,59.0,23.9,中級,中性脂肪が高い
88,175.0,57.0,18.6,初級,透析
89,175.0,114.0,37.2,初級,透析
90,156.0,62.0,25.5,初級,CKD（ステージ３a）
91,170.0,69.0,23.9,初級,腎機能の値が高い
92,158.0,55.0,22.0,中級,貧血対策
93,168.0,50.0,17.7,初級,貧血対策
94,170.0,61.0,21.1,初級,逆流性食道炎
95,170.0,59.0,20.4,初心者,潰瘍性大腸炎（寛解期）
96,160.0,78.0,30.5,初心者,慢性便秘症
97,150.0,40.0,17.8,初級,慢性便秘症
98,147.0,49.0,22.7,初心者,妊娠中（後期）
99,160.0,42.0,16.4,中級,妊娠中（後期）
100,159.0,49.0,19.4,中級,妊娠中（後期）
