recipe_id,category,comment
1691,減塩,しょうゆとみそでしっかり味つけしながらも、塩分は控えめ。大葉の香りがふわっと広がり、満足感のある一品です。
1691,ダイエット,鶏ひき肉でたんぱく質をとりつつ、エネルギーは少なめ。さっぱり食べやすく、食事を整えたい日にぴったりです。
1691,general,大葉の香りがさわやかで、鶏ひき肉のうまみをしっかり楽しめるハンバーグ。30分以内で作れて、夕食のおかずに便利です。
1691,beginner,材料を混ぜて焼くだけのシンプルな手順で、料理初心者でも作りやすいレシピ。大葉の香りで手軽においしく仕上がります。
2460,ダイエット,鶏むね肉を使った高たんぱく・低エネルギーの一皿です。青のりとチーズの香ばしさで満足感があり、食べごたえはしっかりなのに軽やかに楽しめます。
2460,general,胸肉をカツレツ風に仕上げた、香ばしくて食欲そそる一品です。青のりと粉チーズの風味がアクセントになり、野菜を添えれば彩りもきれいにまとまります。
2460,beginner,切って下味をつけ、衣をまぶして焼くだけで作りやすいレシピです。手順も少なめなので、揚げずにカツレツ気分を楽しみたい日にぴったりです。
4907,general,はちみつ味噌の甘じょっぱい味つけで、ごはんが進む一品です。豚肉のうまみと、いんげん・なすの食感がよく合い、15分で手早く作れます。
4907,貧血,豚もも肉は鉄分補給に役立つ食材です。いんげんやなすも合わせて、食べやすくしっかり栄養がとれるので、毎日の元気を支えたいときにおすすめです。
4907,便秘,いんげんとなすで食物繊維をとりやすく、炒めるだけで手軽に食べられます。味噌とはちみつのコクで野菜が食べやすく、あと一品にもぴったりです。
4907,beginner,切って炒めて味つけするだけの簡単レシピです。4ステップで完成するので、料理に慣れていない方でも作りやすく、忙しい日にも重宝します。
5832,general,赤ワインとデミグラスソースで、洋食屋さんのような深い味わいに。ごろっと野菜も入って、特別感のあるごちそうシチューです。
5832,貧血,牛肉のたんぱく質や鉄分に加え、ビタミンB12もとれるのがうれしい一品。しっかり食べて元気をつけたい日におすすめです。
5832,便秘,じゃがいも、玉ねぎ、にんじん、ブロッコリー、マッシュルームと野菜がたっぷり。食物繊維をおいしく補いたいときにぴったりです。
7275,ダイエット,鶏ひき肉のたんぱく質に、大豆の食物繊維もプラス。満足感がありつつ、カレーの香りでヘルシーに楽しめる一皿です。
7275,便秘,大豆と玉ねぎで食物繊維がしっかりとれるのがうれしいポイント。スパイスの香りで、野菜が苦手でも食べやすいカレーです。
7275,general,スパイスの香りにトマトのうまみが重なって、満足感たっぷり。大豆入りで食べごたえもあり、いつものカレー気分を軽やかに楽しめます。
